"Id";"Region";"ActivityHour";"StepTotal";"Calories";"TotalIntensity";"AverageIntensity"
1927972279;"East";"2016-05-05 08:00:00";0;86;0;0
1927972279;"East";"2016-05-05 09:00:00";0;86;0;0
1927972279;"East";"2016-05-05 10:00:00";0;86;0;0
1927972279;"East";"2016-05-05 11:00:00";0;86;0;0
1927972279;"East";"2016-05-05 12:00:00";0;86;0;0
1927972279;"East";"2016-05-05 13:00:00";0;86;0;0
1927972279;"East";"2016-05-05 14:00:00";0;86;0;0
1927972279;"East";"2016-05-05 15:00:00";0;86;0;0
1927972279;"East";"2016-05-05 16:00:00";0;86;0;0
1927972279;"East";"2016-05-05 17:00:00";0;86;0;0
1927972279;"East";"2016-05-05 18:00:00";0;86;0;0
1927972279;"East";"2016-05-05 19:00:00";0;86;0;0
1927972279;"East";"2016-05-05 20:00:00";0;86;0;0
1927972279;"East";"2016-05-05 21:00:00";0;86;0;0
1927972279;"East";"2016-05-05 22:00:00";0;86;0;0
1927972279;"East";"2016-05-05 23:00:00";0;86;0;0
2022484408;"East";"2016-05-05 00:00:00";0;62;0;0
2022484408;"East";"2016-05-05 01:00:00";0;62;0;0
2022484408;"East";"2016-05-05 02:00:00";0;62;0;0
2022484408;"East";"2016-05-05 03:00:00";0;62;0;0
2022484408;"East";"2016-05-05 04:00:00";0;62;0;0
2022484408;"East";"2016-05-05 05:00:00";0;62;0;0
2022484408;"East";"2016-05-05 06:00:00";0;62;0;0
2022484408;"East";"2016-05-05 07:00:00";0;62;0;0
2022484408;"East";"2016-05-05 08:00:00";309;101;15;0
2022484408;"East";"2016-05-05 09:00:00";2327;217;68;1
2022484408;"East";"2016-05-05 10:00:00";1305;326;100;2
2022484408;"East";"2016-05-05 11:00:00";666;133;28;0
2022484408;"East";"2016-05-05 12:00:00";255;94;12;0
2022484408;"East";"2016-05-05 13:00:00";190;82;7;0
2022484408;"East";"2016-05-05 14:00:00";1723;194;54;1
2022484408;"East";"2016-05-05 15:00:00";2384;214;72;1
2022484408;"East";"2016-05-05 16:00:00";1175;150;31;1
2022484408;"East";"2016-05-05 17:00:00";414;110;19;0
2022484408;"East";"2016-05-05 18:00:00";375;106;19;0
2022484408;"East";"2016-05-05 19:00:00";322;92;13;0
2022484408;"East";"2016-05-05 20:00:00";450;105;20;0
2022484408;"East";"2016-05-05 21:00:00";0;62;0;0
2022484408;"East";"2016-05-05 22:00:00";0;62;0;0
2022484408;"East";"2016-05-05 23:00:00";0;62;0;0
2026352035;"North";"2016-05-05 00:00:00";0;47;0;0
2026352035;"North";"2016-05-05 01:00:00";0;47;0;0
2026352035;"North";"2016-05-05 02:00:00";0;47;0;0
2026352035;"North";"2016-05-05 03:00:00";0;47;0;0
2026352035;"North";"2016-05-05 04:00:00";0;47;0;0
2026352035;"North";"2016-05-05 05:00:00";651;88;24;0
2026352035;"North";"2016-05-05 06:00:00";669;92;27;0
2026352035;"North";"2016-05-05 07:00:00";580;83;20;0
2026352035;"North";"2016-05-05 08:00:00";709;104;39;1
2026352035;"North";"2016-05-05 09:00:00";857;105;35;1
2026352035;"North";"2016-05-05 10:00:00";578;95;32;1
2026352035;"North";"2016-05-05 11:00:00";468;85;24;0
2026352035;"North";"2016-05-05 12:00:00";1196;117;38;1
2026352035;"North";"2016-05-05 13:00:00";1494;128;41;1
2026352035;"North";"2016-05-05 14:00:00";379;74;16;0
2026352035;"North";"2016-05-05 15:00:00";936;114;43;1
2026352035;"North";"2016-05-05 16:00:00";1472;123;39;1
2026352035;"North";"2016-05-05 17:00:00";299;67;11;0
2026352035;"North";"2016-05-05 18:00:00";815;102;33;1
2026352035;"North";"2016-05-05 19:00:00";347;79;22;0
2026352035;"North";"2016-05-05 20:00:00";377;73;16;0
2026352035;"North";"2016-05-05 21:00:00";314;66;12;0
2026352035;"North";"2016-05-05 22:00:00";22;50;2;0
2026352035;"North";"2016-05-05 23:00:00";4;48;1;0
2320127002;"North";"2016-05-05 00:00:00";0;55;0;0
2320127002;"North";"2016-05-05 01:00:00";0;55;0;0
2320127002;"North";"2016-05-05 02:00:00";0;55;0;0
2320127002;"North";"2016-05-05 03:00:00";0;55;0;0
2320127002;"North";"2016-05-05 04:00:00";0;55;0;0
2320127002;"North";"2016-05-05 05:00:00";0;55;0;0
